cnum,instructor,cname,hours,rating
3729,"MINDEN, JONATHAN",PROTEIN DRUG DEVELOP,5.0,4.71
3730,"LOPEZ, ANTONIO-JAVIER",ADVANCED GENETICS,7.25,4.63
3730,"MCMANUS, CHARLES",ADVANCED GENETICS,8.25,4.75
3730,"MITCHELL, AARON",ADVANCED GENETICS,6.06,4.66
3730,"WONG-NOONAN, STEPHANIE",ADVANCED GENETICS,7.1850000000000005,4.65
3730,"WOOLFORD, JOHN",ADVANCED GENETICS,7.023999999999999,4.806
3737,"ZHAO, YONGXIN",BIOSENSORS,6.41,4.53
3738,"ZHANG, HUAIYING",SYNTHETIC BIOLOGY,6.4,4.6850000000000005
3740,"HACKNEY, DAVID",ADV BIOCHEMISTRY,9.5,5.0
3741,"CAMPBELL, PHIL",ADV CELL BIOLOGY,8.25,4.665
3741,"LANNI, FREDERICK",ADV CELL BIOLOGY,5.82,4.64
3741,"LEE, CHRISTINA",ADV CELL BIOLOGY,6.9975000000000005,4.8175
3741,"LINSTEDT, ADAM",ADV CELL BIOLOGY,7.698,4.654
3741,"MCCARTNEY, BROOKE",ADV CELL BIOLOGY,11.75,4.75
3741,"MINDEN, JONATHAN",ADV CELL BIOLOGY,6.745,4.720000000000001
3741,"PUTHENVEEDU, MANOJKUMAR",ADV CELL BIOLOGY,8.0,5.0
3741,"ZHANG, HUAIYING",ADV CELL BIOLOGY,8.75,4.945
3742,"WOOLFORD, JOHN",ADV MOLECULAR BIO,9.155,4.905
3742,"WOOLFORD, JOHN",MOLECULAR BIOLOGY,6.35,5.0
3747,"BARTH, ALISON",PPSL PREP PEER REV,5.8999999999999995,4.68
3751,"ETTENSOHN, CHARLES",ADV DEV BIO HUM HLTH,9.35,4.368
3751,"MCCARTNEY, BROOKE",ADV DEV BIO HUM HLTH,9.5,4.835
3756,"BRASIER, DANIEL",GRAD INDEP STUDY,3.5,4.67
3756,"MITCHELL, AARON",GRAD INDEP STUDY,7.43,4.93
3756,"SCHWARTZ, RUSSELL",GRAD INDEP STUDY,5.233333333333333,3.69
3756,"WOOLFORD, JOHN",GRAD INDEP STUDY,8.0,5.0
3757,"WEGENER, MEREDYTH",SPECIAL TOPICS,11.0,4.0
3758,"ZHANG, HUAIYING",SPECIAL TOPICS,6.725,4.65
3758,"ZHAO, YONGXIN",SPECIAL TOPICS,6.404999999999999,4.725
3760,"PFENNING, ANDREAS",ADV GENOM EPIGEN BRN,5.0,5.0
3762,"GITTIS, ARYN",ADV CELLULAR NEUROSC,7.564,4.4
3762,"YTTRI, ERIC",ADV CELLULAR NEUROSC,8.38,4.13
3763,"BRASIER, DANIEL",ADV SYS NEUROSCIENCE,5.43,4.57
3763,"HONG, KATE",ADV SYS NEUROSCIENCE,5.25,4.75
3763,"KUHLMAN, SANDRA",ADV SYS NEUROSCIENCE,6.24,4.375
